STATISTIC,Statistic Label,TLIST(A1),Year,C03935V04687,Mode of Transport,C01198V01436,Weeks of the year,UNIT,VALUE
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",23,Week 23,Number,169871
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",24,Week 24,Number,219384
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",25,Week 25,Number,250295
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",26,Week 26,Number,259592
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",27,Week 27,Number,305350
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",28,Week 28,Number,338931
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",29,Week 29,Number,347104
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",30,Week 30,Number,358836
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",31,Week 31,Number,369536
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",32,Week 32,Number,357425
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",33,Week 33,Number,382286
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",34,Week 34,Number,354355
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",35,Week 35,Number,390235
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",36,Week 36,Number,418714
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",37,Week 37,Number,427899
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",38,Week 38,Number,432729
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",39,Week 39,Number,438357
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",40,Week 40,Number,435417
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",41,Week 41,Number,405986
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",42,Week 42,Number,382078
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",43,Week 43,Number,319938
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",44,Week 44,Number,204748
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",45,Week 45,Number,289411
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",46,Week 46,Number,291201
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",47,Week 47,Number,302115
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",48,Week 48,Number,307535
THA24C01,Passenger Journeys,2020,2020,20,"Bus, excluding Dublin Metro",49,Week 49,Number,407988
